 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2.348167, 0.06834147, 0.1013559, 0.1693242, 0.07584018, 0.02970684, 0.1482064, 0.1405879, 0.09744089, 0.07358388, 0.03334917, 0.001561488, 0.02948814, 0.01481406, 0.01550844, 0.01547848
2.398128, 0.07862838, 0.09641041, 0.1870288, 0.08583207, 0.03888274, 0.1571384, 0.1542935, 0.1063052, 0.07470083, 0.03230337, 0.002043911, 0.02827347, 0.01417214, 0.01453665, 0.0148255
2.448089, 0.08383703, 0.101014, 0.1814145, 0.1007853, 0.04693858, 0.1686862, 0.1563437, 0.1067087, 0.09046964, 0.03485598, 0.001955689, 0.02710883, 0.01355804, 0.01362576, 0.01420006
2.49805, 0.08664878, 0.09750949, 0.1829058, 0.1005802, 0.04416727, 0.1706741, 0.1530254, 0.1014628, 0.08652488, 0.03276771, 0.001871275, 0.02599216, 0.01297054, 0.01277194, 0.013601
2.548011, 0.09246316, 0.1107087, 0.1917417, 0.1106443, 0.0437573, 0.1784893, 0.1554819, 0.09647474, 0.08935985, 0.04368938, 0.002471582, 0.02492149, 0.0124085, 0.01197163, 0.01302722
2.597972, 0.09648288, 0.1135818, 0.2072173, 0.115673, 0.04117382, 0.1819784, 0.1642044, 0.09173196, 0.0975378, 0.04218147, 0.0023649, 0.02389492, 0.01187082, 0.01122147, 0.01247765
2.647933, 0.09589598, 0.1080398, 0.2066884, 0.1121386, 0.03874288, 0.1936263, 0.1674427, 0.08722232, 0.09823897, 0.04475921, 0.004150202, 0.02291065, 0.01135643, 0.01051831, 0.01195126
2.697894, 0.1038972, 0.1027683, 0.2057247, 0.1111835, 0.04262121, 0.2045326, 0.1625745, 0.08293439, 0.1076104, 0.04207762, 0.00445376, 0.02196691, 0.01086434, 0.009859213, 0.01144707
2.747855, 0.1321075, 0.1089617, 0.2211568, 0.1202408, 0.05017941, 0.2262385, 0.1775889, 0.07885726, 0.1188048, 0.04186525, 0.004261521, 0.02106205, 0.01039356, 0.009241416, 0.01327241
2.797816, 0.1749413, 0.1216867, 0.2352202, 0.1532787, 0.08017209, 0.253845, 0.2010005, 0.09262853, 0.148738, 0.06497028, 0.006596426, 0.02019446, 0.009943192, 0.008662332, 0.01271249
2.847777, 0.204517, 0.1398046, 0.2436446, 0.1626795, 0.1215318, 0.2685416, 0.2123205, 0.09340497, 0.1748219, 0.08266848, 0.006311702, 0.01936261, 0.009512334, 0.008119535, 0.01463226
2.897738, 0.2521386, 0.1575339, 0.264099, 0.1963803, 0.1485241, 0.2947254, 0.2275112, 0.09657669, 0.1849706, 0.1016011, 0.008283872, 0.01856503, 0.009100147, 0.00761075, 0.01401497
2.947699, 0.2806295, 0.1590406, 0.2687094, 0.1984163, 0.1698764, 0.3184709, 0.2394044, 0.09582201, 0.2006855, 0.1179807, 0.007926312, 0.0178003, 0.00870582, 0.007133847, 0.01342372
2.99766, 0.3058613, 0.1512806, 0.2756042, 0.2115614, 0.1717672, 0.3232937, 0.2400108, 0.107097, 0.2177547, 0.1109123, 0.007584186, 0.01706707, 0.00832858, 0.006686827, 0.01518149
3.047621, 0.3124145, 0.1474035, 0.2623065, 0.2041026, 0.1616259, 0.3227369, 0.2290658, 0.1018321, 0.2279806, 0.1042674, 0.007256826, 0.01636404, 0.007967687, 0.006267818, 0.01454104
3.097582, 0.3195004, 0.1454624, 0.2666884, 0.2033434, 0.1520834, 0.316945, 0.2186199, 0.09682589, 0.2320538, 0.09802059, 0.006943597, 0.01568997, 0.007622432, 0.005875065, 0.0139276
3.147543, 0.3154386, 0.1383649, 0.2653879, 0.2107428, 0.1431042, 0.3229456, 0.2130362, 0.09206584, 0.2335737, 0.09214804, 0.006643888, 0.01504367, 0.007292137, 0.005506922, 0.01334004
3.197504, 0.3064705, 0.1316136, 0.2698358, 0.2038187, 0.1346552, 0.3342957, 0.207811, 0.0875398, 0.2411193, 0.0866273, 0.01095407, 0.01442399, 0.006976155, 0.005161849, 0.01277727
3.247465, 0.3019615, 0.1331912, 0.2909347, 0.2098907, 0.1508221, 0.3393315, 0.2072468, 0.08323625, 0.25141, 0.08143733, 0.01109818, 0.01382984, 0.006673865, 0.004838398, 0.01223824
3.297426, 0.2919553, 0.1370323, 0.3118239, 0.1978961, 0.1419174, 0.3621379, 0.208293, 0.08083116, 0.2519581, 0.07655831, 0.01061914, 0.01326016, 0.006384674, 0.004535215, 0.01172194
3.347387, 0.292677, 0.137442, 0.3374903, 0.2062961, 0.1410268, 0.3791623, 0.2067522, 0.07737084, 0.2703023, 0.07197159, 0.01081533, 0.01271395, 0.006108013, 0.004251031, 0.01122743
3.397348, 0.2811133, 0.1349203, 0.3558062, 0.1950016, 0.1327004, 0.3877512, 0.1973239, 0.08512243, 0.2652266, 0.06765966, 0.01034851, 0.01219024, 0.005843341, 0.003984653, 0.01075378
3.447309, 0.2698132, 0.133561, 0.3687738, 0.1993264, 0.1248657, 0.399526, 0.197186, 0.08372632, 0.2536618, 0.06360608, 0.00990183, 0.0116881, 0.005590138, 0.003734968, 0.01253801
3.49727, 0.2555574, 0.1313518, 0.3839748, 0.2012622, 0.1278473, 0.3981593, 0.1991556, 0.08340258, 0.2743919, 0.05979534, 0.009474434, 0.01120664, 0.005347907, 0.003500928, 0.01200907
3.547231, 0.2476375, 0.1255544, 0.3906623, 0.2095973, 0.134367, 0.4261504, 0.2035421, 0.08612607, 0.2674481, 0.05621291, 0.009065486, 0.01074502, 0.005116172, 0.003281553, 0.01150245
3.597192, 0.2468964, 0.1194282, 0.4055669, 0.2162862, 0.141753, 0.4364918, 0.2091958, 0.09099218, 0.2726488, 0.05284511, 0.008674189, 0.01030241, 0.004894478, 0.003075925, 0.0134609
3.647153, 0.2499808, 0.119889, 0.4157242, 0.2172085, 0.1378906, 0.437772, 0.2054496, 0.08651892, 0.2796847, 0.04967908, 0.008299781, 0.009878031, 0.004682391, 0.002883182, 0.0151779
3.697114, 0.2400181, 0.1147228, 0.4157313, 0.2254211, 0.1562809, 0.4647028, 0.1981464, 0.08226557, 0.2691817, 0.04670274, 0.007941535, 0.009471135, 0.004479494, 0.002702517, 0.01453759
3.747075, 0.2336776, 0.112432, 0.4201113, 0.232522, 0.1584952, 0.4586574, 0.2074755, 0.07822132, 0.2746826, 0.04390471, 0.007598752, 0.009081, 0.004285389, 0.002533172, 0.01577268
3.797036, 0.2206307, 0.1097866, 0.4130218, 0.2221156, 0.1491375, 0.4580478, 0.1980142, 0.07437588, 0.2627056, 0.04127431, 0.007270764, 0.008706936, 0.004099695, 0.002374439, 0.01510729
3.846997, 0.2085738, 0.1044298, 0.4115833, 0.2094224, 0.1403323, 0.4541163, 0.1956701, 0.0707195, 0.2512508, 0.03880151, 0.006956933, 0.00834828, 0.003922048, 0.002225652, 0.01446996
