Time,Centre position X,Centre position Y,A active,S active
122.685,277,308,0,0
122.785,277,282,0,0
122.885,280,288,0,0
124.885,422,218,0,0
124.985,433,226,0,0
125.085,448,231,0,0
125.185,450,232,0,0
125.285,462,235,0,0
125.385,466,239,0,0
125.485,477,226,0,0
125.585,480,223,0,0
125.685,489,229,0,0
125.785,488,230,0,0
125.885,485,225,0,0
125.985,485,207,0,0
126.069,485,207,0,1
126.085,460,185,0,1
126.185,449,170,0,1
126.198,449,170,0,0
126.285,437,163,0,0
126.385,431,151,0,0
126.485,418,144,0,0
126.585,412,142,0,0
126.685,410,142,0,0
126.785,414,143,0,0
126.885,416,149,0,0
127.719,445,160,0,0
127.852,448,186,0,0
127.952,435,186,0,0
128.052,416,197,0,0
128.152,407,210,0,0
128.252,394,216,0,0
128.352,387,214,0,0
128.452,400,204,0,0
128.552,400,208,0,0
128.652,395,216,0,0
128.752,389,215,0,0
128.852,381,219,0,0
128.952,372,223,0,0
129.719,231,238,0,0
138.452,452,328,0,0
138.919,89,176,0,0
139.019,90,183,0,0
139.119,94,178,0,0
139.219,107,168,0,0
139.319,119,163,0,0
141.919,472,117,0,0
142.252,484,111,0,0
144.285,503,199,0,0
144.385,501,208,0,0
144.485,505,212,0,0
144.585,508,215,0,0
144.685,511,225,0,0
144.785,511,229,0,0
144.885,512,222,0,0
144.934,512,222,0,1
144.985,511,218,0,1
145.085,510,215,0,1
145.334,510,215,0,0
151.852,380,272,0,0
151.952,371,264,0,0
152.052,362,254,0,0
152.152,352,249,0,0
152.319,353,235,0,0
152.419,348,229,0,0
152.519,334,218,0,0
152.619,323,216,0,0
152.719,303,208,0,0
152.819,284,201,0,0
152.919,271,200,0,0
153.019,255,205,0,0
153.119,254,205,0,0
153.219,255,206,0,0
153.319,253,202,0,0
153.652,177,218,0,0
154.286,159,222,0,0
154.419,170,219,0,0
154.519,176,211,0,0
154.619,169,218,0,0
154.752,161,229,0,0
155.085,140,252,0,0
157.819,364,288,0,0
158.286,212,292,0,0
158.386,224,297,0,0
158.486,219,298,0,0
158.619,219,298,0,0
158.719,223,302,0,0
158.819,219,301,0,0
158.919,214,293,0,0
159.019,227,297,0,0
159.119,228,296,0,0
159.219,239,309,0,0
159.319,251,294,0,0
159.419,261,288,0,0
159.519,258,294,0,0
159.619,251,286,0,0
159.719,240,274,0,0
159.852,234,259,0,0
159.952,233,267,0,0
160.052,241,289,0,0
160.152,256,286,0,0
160.252,262,256,0,0
160.352,270,271,0,0
160.452,276,282,0,0
160.552,285,287,0,0
160.652,287,286,0,0
160.752,282,279,0,0
160.852,279,278,0,0
160.952,282,275,0,0
161.052,288,270,0,0
161.152,286,265,0,0
161.252,274,240,0,0
161.352,263,220,0,0
163.885,443,243,0,0
166.652,418,282,0,0
166.752,436,270,0,0
166.852,442,264,0,0
166.952,449,261,0,0
167.052,448,262,0,0
167.152,447,266,0,0
167.252,452,271,0,0
167.352,449,272,0,0
167.452,450,272,0,0
167.552,451,272,0,0
167.652,450,270,0,0
167.752,438,271,0,0
168.019,444,272,0,0
168.119,450,268,0,0
168.219,456,266,0,0
168.319,471,262,0,0
168.419,483,261,0,0
168.519,484,260,0,0
168.619,484,258,0,0
168.719,480,257,0,0
168.819,487,253,0,0
168.919,477,251,0,0
169.019,468,248,0,0
169.119,449,251,0,0
169.219,445,255,0,0
169.319,462,255,0,0
169.419,469,253,0,0
169.519,471,250,0,0
169.619,471,249,0,0
169.719,473,252,0,0
169.819,479,252,0,0
169.919,485,253,0,0
170.019,486,254,0,0
170.119,493,249,0,0
170.219,492,249,0,0
170.319,482,248,0,0
170.419,482,252,0,0
170.519,482,253,0,0
170.619,492,257,0,0
170.752,506,264,0,0
170.852,501,267,0,0
170.952,488,278,0,0
171.052,486,282,0,0
171.152,485,284,0,0
171.252,486,275,0,0
171.352,487,269,0,0
171.452,497,274,0,0
171.552,497,277,0,0
171.652,500,284,0,0
171.752,506,293,0,0
171.852,511,295,0,0
171.952,512,294,0,0
172.052,514,299,0,0
172.152,514,304,0,0
172.252,509,308,0,0
172.352,506,307,0,0
172.452,509,312,0,0
172.552,513,319,0,0
172.652,510,318,0,0
172.752,506,313,0,0
172.852,510,312,0,0
172.952,510,313,0,0
173.052,508,310,0,0
173.152,506,306,0,0
173.252,501,299,0,0
173.352,500,289,0,0
173.452,504,283,0,0
173.552,510,280,0,0
173.652,514,277,0,0
173.752,517,277,0,0
173.852,517,279,0,0
173.952,508,282,0,0
174.052,499,294,0,0
174.152,487,298,0,0
174.252,481,301,0,0
174.352,476,308,0,0
174.452,475,309,0,0
174.552,474,301,0,0
174.652,477,303,0,0
174.819,391,336,0,0
177.352,339,169,0,0
178.652,376,223,0,0
178.752,359,251,0,0
178.852,354,246,0,0
178.952,359,242,0,0
179.052,361,223,0,0
179.152,356,208,0,0
179.752,339,308,0,0
180.419,261,339,0,0
180.686,242,246,0,0
180.786,228,263,0,0
180.886,219,273,0,0
181.185,207,288,0,0
181.286,208,293,0,0
181.419,215,288,0,0
181.519,214,272,0,0
181.619,213,265,0,0
181.719,212,265,0,0
181.819,214,259,0,0
181.919,216,258,0,0
182.019,220,255,0,0
182.119,221,252,0,0
182.219,222,242,0,0
182.319,225,243,0,0
184.852,164,280,0,0
184.952,161,268,0,0
185.119,159,256,0,0
185.219,158,249,0,0
185.319,154,256,0,0
185.419,152,252,0,0
185.519,155,275,0,0
185.526,155,275,0,1
185.619,154,274,0,1
185.719,154,274,0,1
185.819,153,266,0,1
185.919,149,249,0,1
186.296,149,249,0,0
186.752,207,231,0,0
186.852,213,221,0,0
186.952,219,220,0,0
189.552,123,351,0,0
193.152,290,344,0,0
193.252,280,342,0,0
193.352,284,344,0,0
193.452,292,346,0,0
193.589,292,346,0,1
193.957,292,346,0,0
198.419,132,129,0,0
198.719,122,113,0,0
201.352,106,93,0,0
202.186,118,146,0,0
202.352,106,168,0,0
202.452,97,225,0,0
202.552,102,238,0,0
202.652,109,231,0,0
202.752,113,227,0,0
202.852,114,230,0,0
202.952,112,229,0,0
203.052,113,231,0,0
203.152,110,225,0,0
203.253,109,219,0,0
203.386,106,216,0,0
203.486,103,225,0,0
203.586,100,219,0,0
203.686,91,220,0,0
203.786,93,227,0,0
203.830,93,227,0,1
203.886,94,225,0,1
203.909,94,225,0,0
203.986,89,227,0,0
204.086,85,234,0,0
204.186,82,246,0,0
204.286,87,254,0,0
204.386,85,256,0,0
204.486,82,256,0,0
204.586,82,260,0,0
204.719,92,263,0,0
204.819,96,267,0,0
204.919,98,262,0,0
205.019,100,265,0,0
205.119,94,270,0,0
205.219,88,266,0,0
205.319,83,276,0,0
205.419,80,270,0,0
205.519,79,269,0,0
205.619,79,275,0,0
205.719,78,287,0,0
205.819,84,298,0,0
205.919,83,296,0,0
206.019,87,285,0,0
206.119,90,279,0,0
206.219,90,278,0,0
206.319,91,273,0,0
206.419,91,275,0,0
206.519,89,278,0,0
206.619,83,280,0,0
206.662,83,280,0,1
206.719,85,285,0,1
206.819,89,288,0,1
206.919,90,291,0,1
207.019,87,289,0,1
207.119,87,286,0,1
207.219,88,284,0,1
207.319,88,285,0,1
207.419,87,283,0,1
207.519,84,284,0,1
207.619,83,285,0,1
207.717,83,285,0,0
208.352,134,340,0,0
208.952,69,259,0,0
209.186,94,285,0,0
209.319,107,312,0,0
209.419,110,319,0,0
209.552,114,318,0,0
209.686,106,313,0,0
209.786,103,310,0,0
209.886,99,313,0,0
209.986,96,321,0,0
210.086,88,330,0,0
210.186,84,322,0,0
210.786,67,320,0,0
210.886,63,304,0,0
211.986,86,253,0,0
214.086,107,232,0,0
214.186,107,231,0,0
214.353,109,231,0,0
216.986,350,177,0,0
217.452,343,163,0,0
217.552,337,154,0,0
217.652,329,150,0,0
217.753,317,143,0,0
217.853,328,145,0,0
217.986,335,152,0,0
218.086,323,140,0,0
218.186,336,134,0,0
218.286,350,133,0,0
218.386,355,133,0,0
218.486,357,131,0,0
218.586,361,126,0,0
218.686,361,127,0,0
218.786,354,127,0,0
218.885,354,127,0,1
218.886,358,128,0,1
218.986,354,129,0,1
219.086,356,129,0,1
219.186,351,130,0,1
219.286,337,129,0,1
219.413,337,129,0,0
219.852,281,256,0,0
219.952,300,286,0,0
220.219,334,226,0,0
220.319,329,236,0,0
220.419,333,205,0,0
220.552,338,257,0,0
220.652,341,265,0,0
220.886,349,263,0,0
220.986,348,276,0,0
221.086,349,277,0,0
221.186,352,271,0,0
221.286,350,272,0,0
221.386,349,276,0,0
221.486,350,282,0,0
221.586,367,270,0,0
221.686,367,270,0,1
221.781,367,270,0,0
221.953,422,251,0,0
222.653,450,243,0,0
222.753,448,250,0,0
223.386,432,147,0,0
223.486,417,139,0,0
223.586,427,134,0,0
223.686,416,126,0,0
223.786,408,123,0,0
223.886,411,128,0,0
223.986,411,130,0,0
224.086,413,129,0,0
224.186,412,135,0,0
224.286,414,136,0,0
224.386,416,140,0,0
224.486,416,139,0,0
224.586,420,139,0,0
224.686,422,152,0,0
224.786,417,164,0,0
225.052,401,192,0,0
225.152,405,199,0,0
225.252,410,198,0,0
225.352,417,201,0,0
225.586,423,208,0,0
225.686,423,206,0,0
236.419,159,154,0,0
236.552,155,159,0,0
236.686,155,158,0,0
236.786,157,157,0,0
236.886,156,157,0,0
245.752,116,290,0,0
246.886,308,230,0,0
246.986,302,222,0,0
250.053,194,206,0,0
250.486,192,209,0,0
250.586,186,212,0,0
251.386,278,182,0,0
252.386,189,224,0,0
253.119,174,248,0,0
253.219,185,259,0,0
253.319,196,265,0,0
253.419,208,264,0,0
253.519,215,257,0,0
253.619,220,250,0,0
253.719,227,246,0,0
253.819,226,249,0,0
253.919,225,260,0,0
254.019,225,271,0,0
254.037,225,271,0,1
254.119,226,260,0,1
254.219,224,238,0,1
254.319,224,229,0,1
254.419,227,226,0,1
254.519,243,221,0,1
254.565,243,221,0,0
254.619,258,208,0,0
254.719,276,199,0,0
254.819,296,201,0,0
254.919,308,201,0,0
255.019,312,206,0,0
255.119,310,210,0,0
255.219,310,210,0,0
255.319,310,211,0,0
255.419,309,212,0,0
255.519,305,211,0,0
255.619,314,202,0,0
255.919,298,166,0,0
256.019,304,165,0,0
256.486,201,226,0,0
256.786,297,171,0,0
257.252,424,104,0,0
257.753,493,101,0,0
261.586,293,214,0,0
262.553,222,274,0,0
262.653,212,279,0,0
262.786,191,277,0,0
262.886,190,274,0,0
262.986,179,277,0,0
263.086,162,284,0,0
263.186,161,276,0,0
263.286,167,269,0,0
263.386,158,272,0,0
263.686,132,273,0,0
263.786,134,271,0,0
263.886,122,272,0,0
263.986,113,286,0,0
264.086,106,288,0,0
264.186,104,292,0,0
264.486,111,299,0,0
264.586,111,309,0,0
264.686,108,308,0,0
264.786,101,304,0,0
264.886,97,310,0,0
264.986,89,318,0,0
265.119,89,313,0,0
265.219,87,338,0,0
265.319,100,319,0,0
265.453,103,310,0,0
265.586,99,309,0,0
265.686,91,312,0,0
265.786,91,323,0,0
265.886,94,329,0,0
266.953,298,332,0,0
267.053,298,340,0,0
267.153,304,338,0,0
267.253,320,336,0,0
267.353,329,332,0,0
267.453,343,323,0,0
267.553,355,313,0,0
267.653,359,302,0,0
267.753,359,300,0,0
267.853,357,302,0,0
267.953,356,302,0,0
268.053,357,302,0,0
268.153,357,304,0,0
268.253,357,303,0,0
268.353,358,302,0,0
268.453,358,303,0,0
268.553,359,301,0,0
268.653,354,301,0,0
268.753,354,301,0,0
268.853,354,300,0,0
268.953,357,300,0,0
269.053,358,301,0,0
269.153,360,301,0,0
269.253,360,301,0,0
269.353,359,300,0,0
269.453,358,302,0,0
269.553,358,302,0,0
269.653,358,302,0,0
269.734,358,302,0,1
269.753,359,300,0,1
269.853,357,301,0,1
269.953,357,302,0,1
270.053,357,302,0,1
270.153,357,303,0,1
270.253,356,302,0,1
270.353,358,302,0,1
270.453,358,302,0,1
270.553,359,302,0,1
270.653,358,301,0,1
270.753,359,301,0,1
270.853,358,301,0,1
270.953,357,302,0,1
271.053,358,301,0,1
271.153,358,302,0,1
271.253,358,302,0,1
271.353,357,301,0,1
271.453,358,302,0,1
271.553,358,303,0,1
271.653,358,304,0,1
271.753,360,302,0,1
271.853,360,302,0,1
271.953,360,302,0,1
272.053,360,304,0,1
272.153,359,303,0,1
272.253,359,304,0,1
272.353,359,303,0,1
272.453,361,303,0,1
272.469,361,303,0,0
272.553,360,303,0,0
