 , C0, C1, C2, C3, C4, C5, C6,,segment,Time (s),Frame,A (time),A (frame)
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,0,0,0,0.99922,20
4.796256,0.1720631,0.04910511,0.01013664,0.1938428,0,0.009320871,0.01095351,,,,,,
4.846217,0.1856722,0.04695986,0.01841341,0.2033655,0,0.008765801,0.00992524,,,,,,
4.896178,0.1774534,0.05086058,0.01758887,0.2012807,0,0.008243785,0.01086072,,,,,,
4.946139,0.1695983,0.04863864,0.01680125,0.1932784,0,0.007752858,0.009841157,,,,,,
4.9961,0.183397,0.04651377,0.0160489,0.1946877,0,0.007291165,0.008917309,,,,,,
5.046061,0.1752789,0.04866932,0.01533024,0.1946902,0,0.006856967,0.008080189,,,,,,
5.096022,0.1765226,0.05012473,0.01464376,0.1887004,0,0.006448626,0.01434598,,,,,,
5.145983,0.1687087,0.04793493,0.01398802,0.187428,0,0.006064602,0.01299924,,,,,,
5.195944,0.1646852,0.04584081,0.01336165,0.1880008,0,0.005703446,0.01722662,,,,,,
5.245905,0.1625478,0.04383817,0.01276332,0.1894975,0,0.005363799,0.01560945,,,,,,
5.295866,0.1553525,0.04192301,0.01219179,0.1987026,0,0.005044377,0.0141441,,,,,,
5.345827,0.1590183,0.04009153,0.01164585,0.1898539,0,0.004743978,0.01671953,,,,,,
5.395788,0.1618762,0.0445828,0.01112435,0.1837399,0,0.004461468,0.01514997,,,,,,
5.445749,0.1624168,0.04263512,0.01062621,0.1849827,0,0.004195782,0.01372776,,,,,,
5.49571,0.1552274,0.04077252,0.01015038,0.1784308,0,0.003945918,0.01614593,,,,,,
5.545671,0.1550611,0.0389913,0.009695851,0.1906237,0,0.003710933,0.0191868,,,,,,
5.595632,0.1574208,0.04196991,0.009261677,0.1846509,0,0.006822742,0.0178738,,,,,,
5.645593,0.1520702,0.04013638,0.008846945,0.1844581,0,0.006416439,0.02026609,,,,,,
5.695554,0.1563622,0.04002891,0.008450784,0.1919133,0,0.006034332,0.01984071,,,,,,
5.745515,0.1494408,0.03828017,0.008072363,0.1996194,0,0.01140853,0.01997254,,,,,,
5.795476,0.1428257,0.03887985,0.007710889,0.1907298,0,0.01072914,0.02238458,,,,,,
5.845437,0.1387529,0.03718131,0.0073656,0.1822361,0,0.0100902,0.02028321,,,,,,
5.895398,0.1466358,0.03791938,0.007035773,0.1845403,0,0.009835906,0.0183791,,,,,,
5.945359,0.1401449,0.0362628,0.006720716,0.1970664,0,0.009250166,0.01998217,,,,,,
5.99532,0.1339413,0.03787963,0.006419766,0.2040476,0,0.008699307,0.01810632,,,,,,
6.045281,0.143302,0.03622479,0.006132293,0.1949608,0,0.009049693,0.01640658,,,,,,
6.095242,0.1545974,0.03464225,0.005857693,0.1862787,0,0.008510771,0.02035931,,,,,,
6.145203,0.153198,0.03312883,0.005595389,0.2025003,0,0.008003945,0.02341487,,,,,,
6.195164,0.1464166,0.03606772,0.005344831,0.1953625,0,0.01352126,0.02121678,,,,,,
6.245125,0.1522375,0.03449203,0.005105494,0.1866625,0,0.01271605,0.01922504,,,,,,
6.295086,0.1454987,0.03528573,0.004876873,0.1847019,0,0.01253267,0.01742027,,,,,,
6.345047,0.1407764,0.0337442,0.004658489,0.1978988,0,0.01178633,0.0207589,,,,,,
6.395008,0.1403691,0.03227003,0.004449885,0.1946267,0,0.01108444,0.01881014,,,,,,
6.444969,0.1384703,0.03086025,0.004250622,0.1859595,0,0.01042435,0.01805558,,,,,,
6.49493,0.1355139,0.02951206,0.004060282,0.1906115,0,0.009803565,0.01852684,,,,,,
6.544891,0.1333015,0.03579011,0.003878465,0.1821231,0,0.00921975,0.01678761,,,,,,
6.594852,0.1274009,0.03422655,0.00370479,0.1787816,0,0.008670702,0.01521166,,,,,,
6.644813,0.131223,0.0327313,0.003538892,0.1895715,0,0.008154349,0.01745618,,,,,,
6.694774,0.1289816,0.03130137,0.003380422,0.1811294,0,0.007668748,0.02428112,,,,,,
6.744735,0.1274655,0.02993391,0.003229049,0.1809208,0,0.01099395,0.02200171,,,,,,
6.794696,0.1272167,0.02862619,0.003084454,0.1728639,0,0.01033924,0.01993628,,,,,,
6.844657,0.1231757,0.0273756,0.002946334,0.1757594,0,0.009723527,0.02001598,,,,,,
6.894618,0.1241037,0.03344368,0.002814399,0.1765867,0,0.01187627,0.01813696,,,,,,
6.944579,0.1241578,0.03198263,0.002688372,0.184492,0,0.01116902,0.02229525,,,,,,
6.99454,0.1444484,0.03058541,0.002567989,0.1762761,0,0.01050389,0.0234078,,,,,,
7.044501,0.1707153,0.02924923,0.002452996,0.1846672,0,0.0109033,0.02121038,,,,,,
7.094462,0.1930419,0.02797142,0.002343152,0.1808838,0,0.01481073,0.02379518,,,,,,
