Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,,,Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,,Video2-3,C04,C07,,,,C10,C05,C06,C13,C01,C00,C09,C12,C03,C08,C11
2.597972,0.08118582,0.1004834,0.1391679,0.09731768,0.009127918,0.1137052,0.103027,0.04364274,0.01667577,-0.001499295,-0.01658518,-0.02254624,-0.02115777,-0.001678216,-0.017225,,,,,,,,,,,,,,,,,,,
2.647933,0.07968463,0.08827574,0.1378585,0.09326464,0.004579483,0.1245424,0.1055456,0.0437059,0.01675474,0.00258843,-0.01483241,-0.02475743,-0.02114857,0.001637545,-0.02025655,,,,,,,,,,,,,,,,,,,
2.697894,0.08682267,0.08133949,0.1361519,0.09182044,0.01314551,0.1346741,0.09999038,0.04665508,0.02553115,-0.003375976,-0.01292382,-0.02716681,-0.02079585,-0.000512525,-0.0192499,,,,,,,,,,,,,,,,,,,
2.747855,0.1142178,0.08887133,0.1508771,0.1004166,0.02028774,0.1556401,0.1143492,0.03205762,0.03615638,-0.001972158,-0.01656022,-0.02285006,-0.02268599,0.001275915,-0.01661482,,,,,,,,,,,,,,,,,,,
2.797816,0.1562821,0.1006326,0.1642676,0.1330197,0.04988902,0.1825398,0.1371351,0.05194622,0.06554536,0.02108679,-0.0114235,-0.02973941,-0.01882428,-0.004210591,-0.01941106,,,,,,,,,,,,,,,,,,,
2.847777,0.1851313,0.1178338,0.1720516,0.1420106,0.09088045,0.1965611,0.1478579,0.05255828,0.09110861,0.03874166,-0.01404062,-0.02643098,-0.03202098,-0.01268267,-0.0150527,,,,,,,,,,,,,,,,,,,
2.897738,0.2320669,0.1346911,0.1918964,0.1753249,0.1175262,0.2220998,0.1624786,0.05557371,0.1007595,0.05763356,-0.01045091,-0.02587141,-0.02122641,-0.009985181,-0.01581781,,,,,,,,,,,,,,,,,,,
2.947699,0.2599101,0.1380107,0.1959267,0.1769965,0.1385523,0.2452291,0.1738278,0.05467044,0.1159982,0.08158012,-0.009989089,-0.03235541,-0.02235991,-0.01143994,-0.02056972,,,,,,,,,,,,,,,,,,,
2.99766,0.2845304,0.1240417,0.2023632,0.189798,0.1452997,0.2494631,0.175226,0.06627207,0.132612,0.06565911,-0.01368275,-0.02953197,-0.03411632,-0.01864117,-0.01631442,,,,,,,,,,,,,,,,,,,
3.047621,0.2905062,0.1221919,0.1883477,0.1820152,0.1345284,0.248344,0.1662769,0.07016602,0.1424024,0.06716716,-0.008177863,-0.03496286,-0.04926275,-0.008551958,-0.0173276,,,,,,,,,,,,,,,,,,,
3.097582,0.297047,0.1206539,0.192328,0.1809506,0.1181461,0.2420148,0.1461326,0.05944867,0.146059,0.06265573,-0.01449234,-0.03756645,-0.03742373,-0.01744631,-0.0182146,,,,,,,,,,,,,,,,,,,
3.147543,0.2924705,0.1121318,0.1905515,0.188062,0.1039257,0.2475022,0.1455208,0.04577117,0.1471805,0.0513821,-0.0149354,-0.03600252,-0.03676824,-0.01689431,-0.01898944,,,,,,,,,,,,,,,,,,,
3.197504,0.2830163,0.1027386,0.1945463,0.1808664,0.09871962,0.258362,0.1398648,0.0416228,0.1543451,0.06028755,-0.008508386,-0.03670923,-0.03958832,-0.01165314,-0.0152213,,,,,,,,,,,,,,,,,,,
3.247465,0.2780485,0.1053266,0.2152141,0.1869535,0.1200163,0.2629294,0.1388895,0.03337704,0.1642714,0.04464187,-0.007725345,-0.03500473,-0.03781531,-0.02863966,-0.01752897,,,,,,,,,,,,,,,,,,,
3.297426,0.2676091,0.1085833,0.2356928,0.1741588,0.1065504,0.2852883,0.1395433,0.03882495,0.1644709,0.02890389,-0.009610595,-0.0348798,-0.03898312,-0.02520528,-0.02388658,,,,,,,,,,,,,,,,,,,
3.347387,0.2679218,0.1084371,0.2609687,0.1826188,0.1186439,0.3018853,0.1380216,0.03526535,0.1824818,0.02646742,-0.007170893,-0.03609552,-0.04019381,-0.02248481,-0.01861062,,,,,,,,,,,,,,,,,,,
3.397348,0.2559719,0.1053867,0.2789129,0.1711098,0.09965685,0.3100658,0.12743,0.04292254,0.179828,0.01385127,-0.01026383,-0.03394592,-0.04069316,-0.02810695,-0.02019815,,,,,,,,,,,,,,,,,,,
