 , C0, C1, C2, C3,,segment,starting frame ,time
Time(s)/Cell Status, accepted, accepted, accepted, accepted,,0,0,0
7.943799,2.27E-13,0.007143308,0.01984317,0.2214626,,,,
7.99376,0,0.006833031,0.01893959,0.2272637,,,,
8.043721,0,0.007657484,0.01807716,0.2269785,,,,
8.093682,0,0.009049022,0.017254,0.2311199,,,,
8.143643,0,0.008655969,0.01646832,0.2409265,,,,
8.193604,0,0.008279989,0.01571842,0.2428746,,,,
8.243565,-2.27E-13,0.00792034,0.01500267,0.2375926,,,,
8.293526,-2.27E-13,0.007576312,0.01431951,0.2515069,,,,
8.343487,-1.14E-13,0.007247227,0.01366746,0.2396739,,,,
8.393448,0,0.006932437,0.0130451,0.2393989,,,,
8.443409,0,0.008608949,0.01245108,0.245966,,,,
8.49337,1.14E-13,0.008235011,0.0118841,0.2343937,,,,
8.543331,1.14E-13,0.007877315,0.01134295,0.2345583,,,,
8.593292,1.14E-13,0.007535156,0.01082644,0.2235227,,,,
8.643253,1.14E-13,0.007207859,0.01033345,0.2130063,,,,
8.693214,1.14E-13,0.006894778,0.009862904,0.2182897,,,,
8.743175,0,0.006595297,0.009413787,0.2135959,,,,
8.793136,0,0.006308823,0.008985121,0.2035465,,,,
8.843097,0,0.007238289,0.008575975,0.2027935,,,,
8.893058,-1.14E-13,0.006923886,0.00818546,0.1932524,,,,
8.943019,-1.14E-13,0.006623141,0.007812728,0.1841602,,,,
8.99298,0,0.006335458,0.007456969,0.1754958,,,,
9.042941,0,0.006060272,0.007117408,0.1770196,,,,
9.092902,0,0.005797037,0.006793311,0.179931,,,,
9.142863,0,0.005545237,0.006483972,0.1714655,,,,
9.192824,0,0.005304374,0.006188718,0.1724681,,,,
9.242785,0,0.005073974,0.005906909,0.1814153,,,,
9.292746,0,0.004853581,0.005637932,0.17288,,,,
9.342707,0,0.004642761,0.005381204,0.1647463,,,,
9.392668,-5.68E-14,0.004441098,0.005136166,0.1569953,,,,
9.442629,0,0.004248194,0.004902286,0.1496089,,,,
9.49259,0,0.004063669,0.01418057,0.1425701,,,,
9.542551,-5.68E-14,0.00388716,0.01353484,0.1538391,,,,
9.592512,-5.68E-14,0.003718317,0.01291852,0.149399,,,,
9.642473,-5.68E-14,0.003556808,0.01233026,0.14237,,,,
9.692434,-5.68E-14,0.003402315,0.01176879,0.1356717,,,,
9.742395,-5.68E-14,0.003254532,0.02277745,0.1292886,,,,
9.792356,-5.68E-14,0.003113168,0.02174026,0.1232058,,,,
9.842317,-5.68E-14,0.002977945,0.0207503,0.1174092,,,,
9.892278,-5.68E-14,0.002848595,0.01980541,0.1118853,,,,
9.942239,-8.53E-14,0.002724863,0.01890356,0.1121841,,,,
9.9922,-8.53E-14,0.002606506,0.01804276,0.1215321,,,,
10.042161,-5.68E-14,0.005130204,0.01722117,0.1158142,,,,
10.092122,-8.53E-14,0.004907368,0.01643699,0.1167536,,,,
10.142083,-5.68E-14,0.004694212,0.01568852,0.1112605,,,,
10.192044,-8.53E-14,0.004490314,0.01497413,0.1081437,,,,
10.242005,-5.68E-14,0.004295273,0.01429226,0.1090765,,,,
10.291966,-5.68E-14,0.004108703,0.01364145,0.1195265,,,,
10.341927,-5.68E-14,0.003930238,0.01302028,0.113903,,,,
10.391888,-2.84E-14,0.003759524,0.01242739,0.1134621,,,,
10.441849,-5.68E-14,0.003596226,0.01186149,0.1081239,,,,
10.49181,-5.68E-14,0.004006134,0.01132137,0.1030369,,,,
10.541771,-5.68E-14,0.003832124,0.01556025,0.09818918,,,,
10.591732,-5.68E-14,0.003665672,0.01966054,0.09356954,,,,
10.641693,-5.68E-14,0.00350645,0.01876528,0.08916725,,,,
10.691654,-5.68E-14,0.003354144,0.01791079,0.09105606,,,,
10.741615,-4.26E-14,0.004948057,0.0170952,0.09226296,,,,
10.791576,-4.26E-14,0.004733134,0.01631675,0.09665179,,,,
10.841537,-4.26E-14,0.004527546,0.01557376,0.1037692,,,,
10.891498,-4.26E-14,0.004330887,0.01486459,0.1124132,,,,
10.941459,-4.26E-14,0.004142771,0.01418772,0.1071244,,,,
10.99142,-4.26E-14,0.003962825,0.01354167,0.1073358,,,,
11.041381,0.008169881,0.003790696,0.01292503,0.1070606,,,,
11.091342,0.01512821,0.005223879,0.01233648,0.1020236,,,,
11.141303,0.01449487,0.009872262,0.01177473,0.09722359,,,,
11.191264,0.01388804,0.009443451,0.01123855,0.09264938,,,,
11.241225,0.01330661,0.009033266,0.0107268,0.08829038,,,,
11.291186,0.01274953,0.008640897,0.01692649,0.08413646,,,,
11.341147,0.01221577,0.008265571,0.01615573,0.08017799,,,,
11.391108,0.01170435,0.007906547,0.01542006,0.07640575,,,,
11.441069,0.01121435,0.007563118,0.01915386,0.08594718,,,,
11.49103,0.01074486,0.007234607,0.01828167,0.0833703,,,,
11.540991,0.01029502,0.006920364,0.0174492,0.08281527,,,,
11.590952,0.00986402,0.006619771,0.01665463,0.07891896,,,,
11.640913,0.009451061,0.006332235,0.01589625,0.07520594,,,,
11.690874,0.009055391,0.006057188,0.0224099,0.09704044,,,,
11.740835,0.008676285,0.005794088,0.02138945,0.09376724,,,,
11.790796,0.008313051,0.008724078,0.02041546,0.08935565,,,,
11.840757,0.007965024,0.008345139,0.01948582,0.09058362,,,,
